Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,Site,Transect,section,sexe,LC
1,3,7,2013,Mcomeau,,,,,26,I2,1,1,f,60,,,,,,,,,,,,,,,,,
2,3,7,2013,Mcomeau,,,,,26,I2,1,1,m,21,,,,,,,,,,,,,,,,,
3,3,7,2013,Mcomeau,,,,,26,I2,1,1,f,21,,,,,,,,,,,,,,,,,
4,3,7,2013,Mcomeau,,,,,26,I2,1,1,f,30,,,,,,,,,,,,,,,,,
5,3,7,2013,Mcomeau,,,,,26,I2,1,1,i,9,,,,,,,,,,,,,,,,,
6,3,7,2013,Mcomeau,,,,,26,I2,1,1,i,18,,,,,,,,,,,,,,,,,
7,3,7,2013,Mcomeau,,,,,26,I2,1,2,m,21,,,,,,,,,,,,,,,,,
8,3,7,2013,Mcomeau,,,,,26,I2,1,2,b3,77,,,,,,,,,,,,,,,,,
9,3,7,2013,Mcomeau,,,,,26,I2,1,2,f,24,,,,,,,,,,,,,,,,,
10,3,7,2013,Mcomeau,,,,,26,I2,1,2,i,16,,,,,,,,,,,,,,,,,
11,3,7,2013,Mcomeau,,,,,26,I2,1,2,m,77,,,,,,,,,,,,,,,,,
12,3,7,2013,Mcomeau,,,,,26,I2,1,2,f,21,,,,,,,,,,,,,,,,,
13,3,7,2013,Mcomeau,,,,,26,I2,1,2,i,18,,,,,,,,,,,,,,,,,
14,3,7,2013,Mcomeau,,,,,26,I2,1,2,m,24,,,,,,,,,,,,,,,,,
15,3,7,2013,Mcomeau,,,,,26,I2,1,2,f,38,,,,,,,,,,,,,,,,,
16,3,7,2013,Mcomeau,,,,,26,I2,1,3,f,21,,,,,,,,,,,,,,,,,
17,3,7,2013,Mcomeau,,,,,26,I2,1,3,f,28,,,,,,,,,,,,,,,,,
18,3,7,2013,Mcomeau,,,,,26,I2,1,3,f,28,,,,,,,,,,,,,,,,,
19,3,7,2013,Mcomeau,,,,,26,I2,1,3,i,9,,,,,,,,,,,,,,,,,
20,3,7,2013,Mcomeau,,,,,26,I2,1,3,i,15,,,,,,,,,,,,,,,,,
21,3,7,2013,Mcomeau,,,,,26,I2,1,3,m,26,,,,,,,,,,,,,,,,,
22,3,7,2013,Mcomeau,,,,,26,I2,1,3,f,45,,,,,,,,,,,,,,,,,
23,3,7,2013,Mcomeau,,,,,26,I2,1,3,f,37,,,,,,,,,,,,,,,,,
24,3,7,2013,Mcomeau,,,,,26,I2,1,3,i,16,,,,,,,,,,,,,,,,,
25,3,7,2013,Mcomeau,,,,,26,I2,1,3,m,20,,,,,,,,,,,,,,,,,
26,3,7,2013,Mcomeau,,,,,26,I2,1,3,i,13,,,,,,,,,,,,,,,,,
27,3,7,2013,Mcomeau,,,,,26,I2,1,3,i,14,,,,,,,,,,,,,,,,,
28,3,7,2013,Mcomeau,,,,,26,I2,1,3,i,11,,,,,,,,,,,,,,,,,
29,3,7,2013,Mcomeau,,,,,26,I2,1,3,m,24,,,,,,,,,,,,,,,,,
30,3,7,2013,Mcomeau,,,,,26,I2,1,4,f,48,,,,,,,,,,,,,,,,,
31,3,7,2013,Mcomeau,,,,,26,I2,1,4,f,21,,,,,,,,,,,,,,,,,
32,3,7,2013,Mcomeau,,,,,26,I2,1,4,i,12,,,,,,,,,,,,,,,,,
33,3,7,2013,Mcomeau,,,,,26,I2,1,4,m,24,,,,,,,,,,,,,,,,,
34,3,7,2013,Mcomeau,,,,,26,I2,1,4,i,11,,,,,,,,,,,,,,,,,
35,3,7,2013,Mcomeau,,,,,26,I2,1,4,i,19,,,,,,,,,,,,,,,,,
36,3,7,2013,Mcomeau,,,,,26,I2,1,4,i,16,,,,,,,,,,,,,,,,,
37,3,7,2013,Mcomeau,,,,,26,I2,1,4,f,23,,,,,,,,,,,,,,,,,
38,3,7,2013,Mcomeau,,,,,26,I2,1,4,m,28,,,,,,,,,,,,,,,,,
39,3,7,2013,Mcomeau,,,,,26,I2,1,4,f,52,,,,,,,,,,,,,,,,,
40,3,7,2013,Mcomeau,,,,,26,I2,1,4,m,26,,,,,,,,,,,,,,,,,
41,3,7,2013,Mcomeau,,,,,26,I2,1,4,i,18,,,,,,,,,,,,,,,,,
42,3,7,2013,Mcomeau,,,,,26,I2,1,4,i,10,,,,,,,,,,,,,,,,,
43,3,7,2013,Mcomeau,,,,,26,I2,1,4,f,30,,,,,,,,,,,,,,,,,
44,3,7,2013,Mcomeau,,,,,26,I2,1,4,m,26,,,,,,,,,,,,,,,,,
45,3,7,2013,Mcomeau,,,,,26,I2,1,5,m,20,,,,,,,,,,,,,,,,,
46,3,7,2013,Mcomeau,,,,,26,I2,1,5,f,38,,,,,,,,,,,,,,,,,
47,3,7,2013,Mcomeau,,,,,26,I2,1,5,i,12,,,,,,,,,,,,,,,,,
48,3,7,2013,Mcomeau,,,,,26,I2,1,5,f,27,,,,,,,,,,,,,,,,,
49,3,7,2013,Mcomeau,,,,,26,I2,1,5,f,25,,,,,,,,,,,,,,,,,
50,3,7,2013,Mcomeau,,,,,26,I2,1,5,m,72,,,,,,,,,,,,,,,,,
51,3,7,2013,Mcomeau,,,,,26,I2,1,5,m,28,,,,,,,,,,,,,,,,,
52,3,7,2013,Mcomeau,,,,,26,I2,1,6,i,11,,,,,,,,,,,,,,,,,
53,3,7,2013,Mcomeau,,,,,26,I2,1,6,i,12,,,,,,,,,,,,,,,,,
54,3,7,2013,Mcomeau,,,,,26,I2,1,6,m,50,,,,,,,,,,,,,,,,,
55,3,7,2013,Mcomeau,,,,,26,I2,1,6,i,13,,,,,,,,,,,,,,,,,
56,3,7,2013,Mcomeau,,,,,26,I2,1,6,f,27,,,,,,,,,,,,,,,,,
57,3,7,2013,Mcomeau,,,,,26,I2,1,6,m,20,,,,,,,,,,,,,,,,,
58,3,7,2013,Mcomeau,,,,,26,I2,1,6,m,73,,,,,,,,,,,,,,,,,
59,3,7,2013,Mcomeau,,,,,26,I2,1,6,m,21,,,,,,,,,,,,,,,,,
60,3,7,2013,Mcomeau,,,,,26,I2,1,6,i,13,,,,,,,,,,,,,,,,,
61,3,7,2013,Mcomeau,,,,,26,I2,1,6,m,22,,,,,,,,,,,,,,,,,
62,3,7,2013,Mcomeau,,,,,26,I2,1,6,m,53,,,,,,,,,,,,,,,,,
63,3,7,2013,Mcomeau,,,,,26,I2,1,7,i,13,,,,,,,,,,,,,,,,,
64,3,7,2013,Mcomeau,,,,,26,I2,1,7,i,18,,,,,,,,,,,,,,,,,
65,3,7,2013,Mcomeau,,,,,26,I2,1,7,i,15,,,,,,,,,,,,,,,,,
66,3,7,2013,Mcomeau,,,,,26,I2,1,7,f,35,,,,,,,,,,,,,,,,,
67,3,7,2013,Mcomeau,,,,,26,I2,1,7,i,9,,,,,,,,,,,,,,,,,
68,3,7,2013,Mcomeau,,,,,26,I2,1,7,i,17,,,,,,,,,,,,,,,,,
69,3,7,2013,Mcomeau,,,,,26,I2,1,7,i,13,,,,,,,,,,,,,,,,,
70,3,7,2013,Mcomeau,,,,,26,I2,1,8,i,13,,,,,,,,,,,,,,,,,
71,3,7,2013,Mcomeau,,,,,26,I2,1,8,i,15,,,,,,,,,,,,,,,,,
72,3,7,2013,Mcomeau,,,,,26,I2,1,8,i,12,,,,,,,,,,,,,,,,,
73,3,7,2013,Mcomeau,,,,,26,I2,1,8,m,20,,,,,,,,,,,,,,,,,
74,3,7,2013,Mcomeau,,,,,26,I2,1,8,i,13,,,,,,,,,,,,,,,,,
75,3,7,2013,Mcomeau,,,,,26,I2,1,8,m,21,,,,,,,,,,,,,,,,,
76,3,7,2013,Mcomeau,,,,,26,I2,1,8,i,13,,,,,,,,,,,,,,,,,
77,3,7,2013,Mcomeau,,,,,26,I2,1,8,i,14,,,,,,,,,,,,,,,,,
78,3,7,2013,Mcomeau,,,,,26,I2,1,8,f,62,,,,,,,,,,,,,,,,,
79,3,7,2013,Mcomeau,,,,,26,I2,1,8,f,45,,,,,,,,,,,,,,,,,
80,3,7,2013,Mcomeau,,,,,26,I2,1,8,f,22,,,,,,,,,,,,,,,,,
81,3,7,2013,Mcomeau,,,,,26,I2,1,8,b3,79,,,,,,,,,,,,,,,,,
